item,itemLabel,participating_team,participating_teamLabel,head_coach,head_coachLabel
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q1130849,Liverpool F.C.,http://www.wikidata.org/entity/Q1029223,Arne Slot
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q19490,Nottingham Forest F.C.,http://www.wikidata.org/entity/Q372372,Nuno Espírito Santo
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q9616,Chelsea F.C.,http://www.wikidata.org/entity/Q317282,Enzo Maresca
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q18716,Newcastle United F.C.,http://www.wikidata.org/entity/Q5336135,Eddie Howe
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q50602,Manchester City F.C.,http://www.wikidata.org/entity/Q164038,Pep Guardiola
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q19568,AFC Bournemouth,http://www.wikidata.org/entity/Q317216,Andoni Iraola
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q18747,West Ham United F.C.,http://www.wikidata.org/entity/Q115119,Julen Lopetegui
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q19500,Wolverhampton Wanderers F.C.,http://www.wikidata.org/entity/Q731946,Gary O'Neil
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q9617,Arsenal F.C.,http://www.wikidata.org/entity/Q185572,Mikel Arteta
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q5794,Everton F.C.,http://www.wikidata.org/entity/Q10599,Sean Dyche
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q19453,Brighton & Hove Albion F.C.,http://www.wikidata.org/entity/Q115819313,Fabian Hürzeler
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q19571,Brentford F.C.,http://www.wikidata.org/entity/Q13469562,Thomas Frank
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q19467,Crystal Palace F.C.,http://www.wikidata.org/entity/Q874777,Oliver Glasner
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q18741,Tottenham Hotspur F.C.,http://www.wikidata.org/entity/Q2849301,Ange Postecoglou
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q18656,Manchester United F.C.,http://www.wikidata.org/entity/Q2844569,Erik ten Hag
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q18520,Luton Town F.C.,http://www.wikidata.org/entity/Q2067092,Rob Edwards
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q19458,Burnley F.C.,,
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q18711,Aston Villa F.C.,http://www.wikidata.org/entity/Q295610,Unai Emery
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q19607,Sheffield United F.C.,http://www.wikidata.org/entity/Q5108471,Chris Wilder
http://www.wikidata.org/entity/Q116977381,2023–24 Premier League,http://www.wikidata.org/entity/Q18708,Fulham F.C.,http://www.wikidata.org/entity/Q6757714,Marco Silva
